x,y,t
7.648401803182035,36.578939977220244,p
7.265847030629292,36.83013802482276,p
6.4296873776410575,37.340476968375796,p
5.889435403336658,37.95579864302587,p
5.514287603047383,38.45666564109372,p
5.374323782269597,41.21104516853863,p
5.200402053618415,44.00377163926658,p
5.517285049438088,46.685111820399946,p
5.126408320316864,49.354476369761905,p
4.782706557884724,51.950309123056876,p
4.038744906612978,52.01343518341495,p
3.439036754620502,54.661923916016434,p
2.769608303535181,57.24303774123967,p
1.8966863436776382,59.68987335313844,p
1.2325225518777954,61.93773799679089,p
0.5375830465558435,64.1677481642301,p
-0.19024759064511798,64.11971776181063,p
-0.9497209814343202,64.01295517360079,p
-0.9491275912553546,63.972959575241774,p
-2.019242181386047,63.898102953162166,p
-2.9316592012928884,63.82270343950869,p
-3.8264080136345333,63.65509800254174,p
-4.581594708159418,63.60520332433634,p
-5.310620684216799,63.5083475454083,p
-6.079799873942115,63.48956161049479,p
-6.989980986377701,63.41592990574275,p
-7.743319939662357,63.338433011182296,p
-8.52589045233088,63.30847962157086,p
-9.404949782701715,62.334489005564635,p
-10.07513310832038,61.25698403324821,p
-10.709660978697134,60.24549162984208,p
-11.436199044213408,59.16486247276446,p
-11.917694695340556,58.161546172266185,p
-12.440953244745664,56.91616890095513,p
-12.817073988257127,55.69421077975288,p
-12.58383239686977,54.68070283205484,p
-13.632056937319415,53.325121881320456,p
-13.90367023740448,52.03448427657867,p
-13.823645399424617,51.734991329572736,p
-14.549521677965094,51.34849870193308,p
-15.347588417751426,50.833665318952775,p
-15.9573888402627,50.45679479912155,p
-16.547402429482243,50.03472267172834,p
-17.153108922853527,49.78801516711348,p
-17.88116980581246,49.53119589082925,p
-18.522627846420253,49.07050802328235,p
-19.117107024181987,48.756057254724475,p
-19.68967712656843,48.44131206575115,p
-20.288426909560943,48.19360780783489,p
-21.041966107939512,47.93493676132603,p
-21.750741780599398,47.573536046773825,p
-22.388405717445416,47.29892376609702,p
-23.02261009409176,47.01576251062429,p
-23.633284243063848,46.74539844612035,p
-24.45388123619446,46.40054086415477,p
-25.033515967128185,46.06764567810622,p
-25.66860293985436,45.79708312890789,p
-26.291747178887988,45.46531018569472,p
-27.18463706077067,45.1357021422529,p
-27.898316931359325,44.73345853382487,p
-28.581078139913178,44.502517595751556,p
-29.20525786194474,44.191331878744215,p
-29.2548797839303,44.266416263661846,p
-30.050954425199805,43.839053800630374,p
-30.65861143892155,43.47746019073825,p
-30.77901453721559,42.45710616749417,p
-31.936799021499795,41.60580930904157,p
-31.99768901010132,41.6851340169711,p
-32.658243126749866,41.41191562671419,p
-33.295567677316974,41.145960592082496,p
-33.83446537586043,40.898842926538904,p
-34.47782049948007,40.71243536814805,p
-35.13407617745093,40.1474680541261,p
-38.223791351256914,42.526393859996844,p
-41.52271312145264,44.80906599153284,p
-44.11236015030736,47.60367298822199,p
-47.98872264140391,50.41073793594384,p
-48.653154708611,49.76977533503605,p
-52.172140121876694,51.700776542555566,p
-55.69190428193133,53.462620562896085,p
-68.06480263510089,39.40818623388755,p
-67.15168832178767,37.5759664617357,p
-66.11593256887404,35.91296507597361,p
-66.61701640176226,34.974715520320366,p
-66.7808253207783,34.15876855912251,p
-67.13841080950765,33.22562104722476,p
-67.46157748155422,32.264283096022105,p
-67.63120200308376,31.29298508640681,p
-67.63120200308376,31.29298508640681,p
-68.03701574050663,30.277803571693436,p
-68.41211591102109,29.42045711026623,p
-68.79561440021435,28.538287252339124,p
-69.15982373631779,27.536019697143114,p
-69.58391931366353,26.47415103359434,p
-69.59326570981042,26.477706997467216,p
-69.91016852046195,25.54198969228147,p
-70.08737265794126,24.722916371392508,p
-70.3382350647838,23.99989766584887,p
